   0.29012    4.69497    0.58980
   0.39687    4.53831    0.61233
   0.58085    4.58511    0.72283
   0.79724    3.88045    0.58649
   0.96492    3.28931    0.59474
   1.44055    2.63219    0.52092
   2.00743    1.76821    0.57815
   2.71773    0.46981    0.64042
   2.73360    0.32956    0.50058
   3.04199   -0.22867    0.63828
   3.40496   -0.54015    0.64521
   3.78026   -0.40934    0.67248
   3.83754   -1.41567    0.71468
   4.12843   -1.92919    0.76586
   4.17218   -2.47955    0.52952
   4.23041   -2.05766    0.56216
   4.23079   -1.98897    0.58624
   4.29481   -1.80686    0.61830
   4.56428   -1.82784    0.65145
   4.67689   -3.04755    0.64531
